uf60,code_muni_1960,name_muni_1960,ordem,name_district_1960,pop_total,pop_urbana,pop_rural,domicilios,pagina,nota
52,5210,Campos,0,Campos (município),292292,131974,160318,51366,7,""
52,5210,Campos,1,Campos,99557,90601,8956,17361,7,""
52,5210,Campos,2,Cardoso Moreira,10459,3595,6864,2001,7,""
52,5210,Campos,3,Dores de Macabu,6867,709,6158,1244,7,""
52,5210,Campos,4,Goitacazes,15189,2214,12975,2611,7,""
52,5210,Campos,5,Guarus,32122,21492,10630,5845,7,""
52,5210,Campos,6,Ibitioca,6128,313,5815,1025,7,""
52,5210,Campos,7,Italva,22951,3191,19760,3716,7,""
52,5210,Campos,8,Morangaba,5950,632,5318,1039,7,""
52,5210,Campos,9,Morro do Côco,8164,530,7634,1187,7,""
52,5210,Campos,10,Mussurepe,5485,330,5155,977,7,""
52,5210,Campos,11,Paciência,1507,90,1417,291,7,""
52,5210,Campos,12,Santo Amaro de Campos,8170,328,7842,1423,7,""
52,5210,Campos,13,Santo Eduardo,18276,1565,16711,3263,7,""
52,5210,Campos,14,São Joaquim,12017,420,11597,2118,7,criado depois de 1950
52,5210,Campos,15,São Sebastião de Campos,9371,780,8591,1657,7,ex-Barão de São José
52,5210,Campos,16,Tocos,9692,3453,6239,1718,7,criado depois de 1950
52,5210,Campos,17,Travessão,15317,1006,14311,2898,7,""
52,5210,Campos,18,Vila Nova,5070,725,4345,992,7,criado depois de 1950
52,5306,Rio Bonito,0,Rio Bonito (município),27694,12642,15052,5311,10,""
52,5306,Rio Bonito,1,Rio Bonito,22179,11916,10263,4244,10,""
52,5306,Rio Bonito,2,Boa Esperança,5515,726,4789,1067,10,ex-Imbiara
19,2012,Cajazeiras,0,Cajazeiras (município),39104,17055,22049,7959,17,""
19,2012,Cajazeiras,1,Cajazeiras,29318,15884,13434,6267,17,""
19,2012,Cajazeiras,2,Cachoeira dos Índios,6008,477,5531,1076,17,""
19,2012,Cajazeiras,3,Engenheiro Ávidos,3778,694,3084,616,17,""
17,1741,Caicó,0,Caicó (município),27447,16233,11214,4695,12,""
17,1741,Caicó,1,Caicó,25633,15826,9807,4393,12,""
17,1741,Caicó,2,Timbaúba dos Batistas,1814,407,1407,302,12,criado depois de 1950
17,1725,Goianinha,0,Goianinha (município),13622,3232,10390,2515,8,""
17,1725,Goianinha,1,Goianinha,9671,2716,6955,1729,8,""
17,1725,Goianinha,2,Tibau do Sul,3951,516,3435,786,8,criado depois de 1950
60,6341,Itaporanga,0,Itaporanga (município),18127,2780,15347,3526,28,""
60,6341,Itaporanga,1,Itaporanga,10409,1916,8493,2120,28,""
60,6341,Itaporanga,2,Barão de Antonina,3382,274,3108,606,28,""
60,6341,Itaporanga,3,Coronel Macedo,4336,590,3746,800,28,""
81,8553,Pedro Osório,0,Pedro Osório (município),16582,6913,9669,3433,16,""
81,8553,Pedro Osório,1,Pedro Osório,10512,6796,3716,2145,16,""
