quadro,regiao,linha,coluna,valor,nota
1,Brasil,TOTAIS,total,70119071,""
1,Brasil,0 a 4,total,11196313,""
1,Brasil,5 a 9,total,10161291,""
1,Brasil,10 a 14,total,8573877,""
1,Brasil,15 a 19,total,7142443,""
1,Brasil,20 a 24,total,6160742,""
1,Brasil,25 a 29,total,5208742,""
1,Brasil,30 a 39,total,8505084,""
1,Brasil,40 a 49,total,5959858,""
1,Brasil,50 a 59,total,3786394,""
1,Brasil,60 a 69,total,2185327,""
1,Brasil,70 e mais e ignorada,total,1239000,""
1,Brasil,TOTAIS,homens,35010717,""
1,Brasil,0 a 4,homens,5712395,""
1,Brasil,5 a 9,homens,5158864,""
1,Brasil,10 a 14,homens,4287220,""
1,Brasil,15 a 19,homens,3445715,""
1,Brasil,20 a 24,homens,2963688,""
1,Brasil,25 a 29,homens,2521689,""
1,Brasil,30 a 39,homens,4209833,""
1,Brasil,40 a 49,homens,3052484,""
1,Brasil,50 a 59,homens,1951454,""
1,Brasil,60 a 69,homens,1124256,""
1,Brasil,70 e mais e ignorada,homens,583119,""
1,Brasil,TOTAIS,mulheres,35108354,""
1,Brasil,0 a 4,mulheres,5483918,""
1,Brasil,5 a 9,mulheres,5002427,""
1,Brasil,10 a 14,mulheres,4286657,""
1,Brasil,15 a 19,mulheres,3696728,""
1,Brasil,20 a 24,mulheres,3197054,""
1,Brasil,25 a 29,mulheres,2687053,""
1,Brasil,30 a 39,mulheres,4295251,""
1,Brasil,40 a 49,mulheres,2907374,""
1,Brasil,50 a 59,mulheres,1834940,""
1,Brasil,60 a 69,mulheres,1061071,""
1,Brasil,70 e mais e ignorada,mulheres,655881,""
1,Brasil,TOTAIS,urbana,32471377,""
1,Brasil,0 a 4,urbana,4699373,""
1,Brasil,5 a 9,urbana,4226152,""
1,Brasil,10 a 14,urbana,3691048,""
1,Brasil,15 a 19,urbana,3171198,""
1,Brasil,20 a 24,urbana,2950453,""
1,Brasil,25 a 29,urbana,2608453,""
1,Brasil,30 a 39,urbana,4380941,""
1,Brasil,40 a 49,urbana,2985251,""
1,Brasil,50 a 59,urbana,1952588,""
1,Brasil,60 a 69,urbana,1139426,""
1,Brasil,70 e mais e ignorada,urbana,666494,""
1,Brasil,TOTAIS,urbana_homens,15621580,""
1,Brasil,0 a 4,urbana_homens,2370456,""
1,Brasil,5 a 9,urbana_homens,2108092,""
1,Brasil,10 a 14,urbana_homens,1784363,""
1,Brasil,15 a 19,urbana_homens,1446864,""
1,Brasil,20 a 24,urbana_homens,1354315,""
1,Brasil,25 a 29,urbana_homens,1213915,""
1,Brasil,30 a 39,urbana_homens,2103547,""
1,Brasil,40 a 49,urbana_homens,1458365,""
1,Brasil,50 a 59,urbana_homens,952273,""
1,Brasil,60 a 69,urbana_homens,543298,""
1,Brasil,70 e mais e ignorada,urbana_homens,286092,""
1,Brasil,TOTAIS,urbana_mulheres,16849797,""
1,Brasil,0 a 4,urbana_mulheres,2328917,""
1,Brasil,5 a 9,urbana_mulheres,2118060,""
1,Brasil,10 a 14,urbana_mulheres,1906685,""
1,Brasil,15 a 19,urbana_mulheres,1724334,""
1,Brasil,20 a 24,urbana_mulheres,1596138,""
1,Brasil,25 a 29,urbana_mulheres,1394538,""
1,Brasil,30 a 39,urbana_mulheres,2277394,""
1,Brasil,40 a 49,urbana_mulheres,1526886,""
1,Brasil,50 a 59,urbana_mulheres,1000315,""
1,Brasil,60 a 69,urbana_mulheres,596128,""
1,Brasil,70 e mais e ignorada,urbana_mulheres,380402,""
1,Brasil,TOTAIS,rural,37647694,""
1,Brasil,0 a 4,rural,6496940,""
1,Brasil,5 a 9,rural,5935139,""
1,Brasil,10 a 14,rural,4882829,""
1,Brasil,15 a 19,rural,3971245,""
1,Brasil,20 a 24,rural,3210289,""
1,Brasil,25 a 29,rural,2600289,""
1,Brasil,30 a 39,rural,4124143,""
1,Brasil,40 a 49,rural,2974607,""
1,Brasil,50 a 59,rural,1833806,""
1,Brasil,60 a 69,rural,1045901,""
1,Brasil,70 e mais e ignorada,rural,572506,""
1,Brasil,TOTAIS,rural_homens,19389137,""
1,Brasil,0 a 4,rural_homens,3341939,""
1,Brasil,5 a 9,rural_homens,3050772,""
1,Brasil,10 a 14,rural_homens,2502857,""
1,Brasil,15 a 19,rural_homens,1998851,""
1,Brasil,20 a 24,rural_homens,1609373,""
1,Brasil,25 a 29,rural_homens,1307774,""
1,Brasil,30 a 39,rural_homens,2106286,""
1,Brasil,40 a 49,rural_homens,1594119,""
1,Brasil,50 a 59,rural_homens,999181,""
1,Brasil,60 a 69,rural_homens,580958,""
1,Brasil,70 e mais e ignorada,rural_homens,297027,""
1,Brasil,TOTAIS,rural_mulheres,18258557,""
1,Brasil,0 a 4,rural_mulheres,3155001,""
1,Brasil,5 a 9,rural_mulheres,2884367,""
1,Brasil,10 a 14,rural_mulheres,2379972,""
1,Brasil,15 a 19,rural_mulheres,1972394,""
1,Brasil,20 a 24,rural_mulheres,1600916,""
1,Brasil,25 a 29,rural_mulheres,1292515,""
1,Brasil,30 a 39,rural_mulheres,2017857,""
1,Brasil,40 a 49,rural_mulheres,1380488,""
1,Brasil,50 a 59,rural_mulheres,834625,""
1,Brasil,60 a 69,rural_mulheres,464943,""
1,Brasil,70 e mais e ignorada,rural_mulheres,275479,""
1,Nordeste,TOTAIS,total,15524609,""
1,Nordeste,0 a 4,total,2564359,""
1,Nordeste,5 a 9,total,2331671,""
1,Nordeste,10 a 14,total,2012131,""
1,Nordeste,15 a 19,total,1643181,""
1,Nordeste,20 a 24,total,1353308,""
1,Nordeste,25 a 29,total,1026528,""
1,Nordeste,30 a 39,total,1748454,""
1,Nordeste,40 a 49,total,1245882,""
1,Nordeste,50 a 59,total,798248,""
1,Nordeste,60 a 69,total,511703,""
1,Nordeste,70 e mais e ignorada,total,289144,""
1,Nordeste,TOTAIS,homens,7613641,""
